Initialising login role...
Connecting to remote database...

  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260404044720 | 20260404044720 | 2026-04-04 04:47:20 
                  | 20260404044721 | 2026-04-04 04:47:21 
   20260404120000 | 20260404120000 | 2026-04-04 12:00:00 
   20260404120001 | 20260404120001 | 2026-04-04 12:00:01 
   20260404120002 | 20260404120002 | 2026-04-04 12:00:02 
   20260404120003 | 20260404120003 | 2026-04-04 12:00:03 
   20260404120004 | 20260404120004 | 2026-04-04 12:00:04 
   20260404120005 | 20260404120005 | 2026-04-04 12:00:05 
   20260405120000 | 20260405120000 | 2026-04-05 12:00:00 
   20260406120000 | 20260406120000 | 2026-04-06 12:00:00 
   20260406120001 | 20260406120001 | 2026-04-06 12:00:01 
   20260406120002 | 20260406120002 | 2026-04-06 12:00:02 
   20260406120003 | 20260406120003 | 2026-04-06 12:00:03 
   20260407120000 | 20260407120000 | 2026-04-07 12:00:00 
   20260408120000 | 20260408120000 | 2026-04-08 12:00:00 
   20260408120001 | 20260408120001 | 2026-04-08 12:00:01 
   20260423120000 | 20260423120000 | 2026-04-23 12:00:00 
   20260423120001 | 20260423120001 | 2026-04-23 12:00:01 
   20260423120002 | 20260423120002 | 2026-04-23 12:00:02 
   20260423130000 | 20260423130000 | 2026-04-23 13:00:00 
   20260424120000 | 20260424120000 | 2026-04-24 12:00:00 
   20260427210000 | 20260427210000 | 2026-04-27 21:00:00 
                  | 20260430000000 | 2026-04-30 00:00:00 
                  | 20260430120000 | 2026-04-30 12:00:00 
                  | 20260430130000 | 2026-04-30 13:00:00 
                  | 20260501204538 | 2026-05-01 20:45:38 
                  | 20260501204754 | 2026-05-01 20:47:54 
   20260503011925 | 20260503011925 | 2026-05-03 01:19:25 
                  | 20260504005355 | 2026-05-04 00:53:55 
                  | 20260505000100 | 2026-05-05 00:01:00 
                  | 20260505000200 | 2026-05-05 00:02:00 
   20260508000001 | 20260508000001 | 2026-05-08 00:00:01 
   20260508002300 | 20260508002300 | 2026-05-08 00:23:00 
   20260509205216 | 20260509205216 | 2026-05-09 20:52:16 
   20260509240000 | 20260509240000 | 20260509240000      
   20260510000000 | 20260510000000 | 2026-05-10 00:00:00 
                  | 20260512120000 | 2026-05-12 12:00:00 
   20260512130000 | 20260512130000 | 2026-05-12 13:00:00 
   20260512140000 | 20260512140000 | 2026-05-12 14:00:00 
   20260513100000 |                | 2026-05-13 10:00:00 
                  | 20260513103000 | 2026-05-13 10:30:00 

